Homo_sapiens,Gorilla_gorilla,Pan_paniscus
NM_152486,XM_019009475,XM_014343994
NM_015658,XM_019009459,XM_003804574
XM_006710600,XM_019014707,XM_008961362
XM_011542248,XM_019014720,XM_008961383
XM_017002584,XM_019033334,XM_008961370
NM_001142467,XM_004024432,
NM_005101,XM_004024431,XM_003805983
NM_001305275,XM_019033345,XM_014344260
NM_001205252,XM_019033352,XM_008977446
XM_017001575,XM_019009509,XM_014344900
XM_017000912,XM_019009516,XM_008961705
XM_017002722,XM_019009561,XM_008961708
XM_011542074,XM_004024444,XM_008961738
XM_024447473,XM_019033362,XM_014347663
NM_080605,,XM_008961736
XM_024446907,,XM_024929571
XM_024453022,XM_019009595,XM_008961709
NM_001130413,XM_004024465,XM_008961734
XM_011540607,XM_019009619,XM_024931017
XM_024453057,XM_004024466,XM_003809492
XM_011541647,,XM_003809485
XM_011542200,XM_004024460,XM_008961717
XM_017002435,XM_004024461,XM_003809488
NM_001330311,XM_004024462,XM_024929532
NM_001282585,XM_019033375,XM_003809506
XM_024447924,XM_019009703,XM_008961720
XM_011542216,XM_004024471,XM_024929573
NM_017971,XM_019009759,XM_008961725
XM_017001324,XM_004024472,XM_008961732
NM_001146685,XM_019038035,XM_024931079
NM_022834,XM_019009780,XM_024929570
NM_001114748,XM_019009819,XM_008959422
NM_014188,XM_004024479,XM_014344630
NM_001242659,XM_004024484,XM_003807311
XM_017000349,XM_019009834,XM_008959384
XM_017002615,XM_004024487,XM_008959385
NM_001290264,XM_019009896,XM_014344188
NM_001198994,XM_019009975,XM_008959392
XM_024446495,XM_019010006,XM_024925481
XM_005244729,XM_004024492,XM_003807295
NM_178545,XM_019010020,XM_003807296
XM_017002641,XM_019010027,XM_014343963
XM_017000936,XM_004024499,XM_003807298
XM_017001789,XM_019010031,XM_024931208
XM_011540914,XM_019010083,XM_024931210
XM_005244775,XM_004024512,XM_003807318
NM_024848,XM_004024513,XM_008959405
XM_017000132,XM_004024508,XM_008959403
NM_153818,XM_019010160,XM_003807300
XM_024451058,XM_019015091,XM_008959412
NM_018216,XM_019010177,XM_008959413
XM_005244751,XM_019010183,
XM_017002718,XM_019010195,XM_008959417
XM_006710354,XM_019033419,XM_003807320
XM_017002310,XM_019010223,XM_008959420
XM_016999990,XM_019038545,XM_003805391
NM_080431,XM_004024522,XM_003805377
XM_005244772,XM_019016767,XM_008970687
XM_017001049,XM_019010234,XM_008970696
XM_011540885,XM_004024542,XM_008970894
NM_182752,XM_019033428,XM_003805395
NM_017818,XM_004024541,XM_008970705
NM_005427,XM_004024528,XM_008970761
XM_017000402,XM_019010297,XM_008970772
NM_001288583,XM_004024544,XM_008970786
NM_020710,XM_004024545,XM_003805396
XM_024451101,XM_004024546,XM_008970803
NM_001282669,XM_019010329,XM_008970831
XM_011541323,XM_019021004,XM_008970838
XM_011541786,XM_019012412,XM_008970880
XM_017000997,XM_019010340,XM_003822160
XM_017002621,XM_019033436,XM_008975726
NM_015557,XM_019010352,XM_008975718
NM_000983,XM_004024558,XM_008975708
XM_011541439,XM_019010390,XM_003822158
NM_012405,XM_004024559,XM_003822157
NM_001024598,,XM_008975706
XM_017001250,XM_019033444,XM_003822181
NM_181864,XM_019016227,XM_003822153
NM_019089,XM_019010410,XM_003822152
XM_011542231,XM_019033451,XM_008975741
NM_148965,XM_019010419,XM_003822149
NM_001265592,XM_019010435,XM_008975694
NM_024654,XM_019010450,XM_003822145
XM_017002402,XM_019010489,XM_003822144
NM_005341,XM_004024566,XM_003822143
NM_014851,XM_004024571,XM_003822140
XM_011540762,XM_019033480,XM_008975689
NM_001195753,XM_004024569,XM_008975740
NM_018198,XM_019010513,XM_008975686
XM_011541084,XM_019010525,XM_008975677
XM_017002841,XM_004024584,XM_003822136
XM_024450585,XM_019033494,XM_008975662
XM_017000116,XM_019010580,XM_003822137
XM_011541386,XM_019037785,XM_008975661
XM_005263424,XM_019010590,XM_003822130
XM_006710697,XM_019010596,XM_003822127
XM_011541530,XM_019034362,XM_003822126
XM_017001359,XM_019033514,XM_014346666
NM_001428,XM_019010615,XM_003822124
XM_011542084,XM_019037140,XM_008975655
XM_011540824,XM_004024599,XM_003822122
NM_003039,XM_019010656,XM_008975654
NM_024980,XM_019011790,XM_008975739
NM_001282587,XM_019010670,XM_014341541
NM_025106,XM_004024606,XM_003822117
NM_032315,XM_019013995,XM_014341588
XM_017000549,XM_004024612,XM_008975643
XM_024447661,XM_019010717,XM_008975638
NM_001009566,XM_019010740,XM_008975737
XM_017001855,XM_019010781,XM_008975636
NM_001316974,XM_019010818,XM_024930425
XM_017002107,XM_019010804,XM_003822108
NM_052960,XM_019010830,XM_003822109
XM_005263422,XM_019010842,XM_008975635
NM_015074,XM_019010863,XM_003822097
NM_002631,XM_004024627,XM_008975634
NM_001302,XM_004024635,XM_008975625
NM_004401,XM_019010909,XM_003822092
XM_011541577,XM_019010932,XM_003822090
XM_017001539,XM_004024637,XM_008975619
NM_001170754,XM_019038016,XM_003822089
